file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
0,104185850/image/108639381.3.jpg,104185850,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2850.C,L.C.2850.C(11),Printed for the booksellers,108639379,,,,,,
1,104186757/image/108891464.3.jpg,104186757,Stirling,Scotland,,,,"Macnie, William",,[1820-1830?],L.C.2873,L.C.2873(24),"Printed and sold, wholesale and retail, by W. Macnie, bookseller",108891462,,,,,,
2,104185375/image/108649797.3.jpg,104185375,Glasgow,Scotland,,,,J. & M. Robertson,,1801,L.C.2835,L.C.2835(31),"Printed by J. & M. Robertson, Saltmarket",108649795,,,,,,
3,104185591/image/108491467.3.jpg,104185591,Glasgow,Scotland,,,,J. & M. Robertson,,1802,L.C.2844.A,L.C.2844.A(12),"Printed by J. & M. Robertson, Saltmarket",108491465,,,,,,
4,104185478/image/108739544.3.jpg,104185478,Glasgow,Scotland,,,,,,Printed in the year MDCCXCIX. [1799],L.C.2840,L.C.2840(8),[s.n.],108739542,,,,,,
5,104184987/image/108654669.3.jpg,104184987,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1816,L.C.2826,L.C.2826(22),Printed by T. Johnston,108654667,,,,,,
6,104185792/image/108708860.3.jpg,104185792,Glasgow,Scotland,,,,,,[ca. 1825],L.C.2850,L.C.2850(20),Printed for the booksellers,108708858,,,,,,
7,104185792/image/108708848.3.jpg,104185792,Glasgow,Scotland,,,,,,[ca. 1825],L.C.2850,L.C.2850(20),Printed for the booksellers,108708846,,,,,,
8,104185835/image/117659115.3.jpg,104185835,Glasgow,Scotland,,,,,,1766,L.C.2850.B,L.C.2850.B(13),Printed in the year,117659113,,,,,,
9,104185835/image/117658851.3.jpg,104185835,Glasgow,Scotland,,,,,,1766,L.C.2850.B,L.C.2850.B(13),Printed in the year,117658849,,,,,,
10,104185835/image/117658887.3.jpg,104185835,Glasgow,Scotland,,,,,,1766,L.C.2850.B,L.C.2850.B(13),Printed in the year,117658885,,,,,,
11,104185835/image/117658875.3.jpg,104185835,Glasgow,Scotland,,,,,,1766,L.C.2850.B,L.C.2850.B(13),Printed in the year,117658873,,,,,,
12,104185444/image/108748304.3.jpg,104185444,Glasgow,Scotland,,,,J. & M. Robertson,,1803,L.C.2838,L.C.2838(30),"Printed by J. & M. Robertson, Saltmarket",108748302,,,,,,
13,104186119/image/108614109.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614107,,,,,,
14,104186119/image/108614049.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614047,,,,,,
15,104186119/image/108614085.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614083,,,,,,
16,104186119/image/108614205.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614203,,,,,,
17,104186119/image/108614133.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614131,,,,,,
18,104186119/image/108614253.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614251,,,,,,
19,104186119/image/108614277.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614275,,,,,,
20,104186119/image/108614229.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614227,,,,,,
21,104186119/image/108614013.3.jpg,104186119,,,,,,,,[ca. 1850?],L.C.2852.J,L.C.2852.J(7),Printed for the booksellers,108614011,,,,,,
22,104186935/image/108872024.3.jpg,104186935,Glasgow,Scotland,,,,,,1829,L.C.2883,L.C.2883(5),Printed for the booksellers,108872022,,,,,,
23,104186420/image/108584325.3.jpg,104186420,Peterhead,Scotland,,,,"Buchan, Peter, 1790-1854",,[1816-1831?],L.C.2862,L.C.2862(12),Printed by P. Buchan,108584323,,,,,,
24,104186420/image/108584337.3.jpg,104186420,Peterhead,Scotland,,,,"Buchan, Peter, 1790-1854",,[1816-1831?],L.C.2862,L.C.2862(12),Printed by P. Buchan,108584335,,,,,,
25,104184697/image/108853400.3.jpg,104184697,Edinburgh,Scotland,,,,,,1823,L.C.2816,L.C.2816(25),Printed for the booksellers in town and country,108853398,,,,,,
26,104185406/image/108751952.3.jpg,104185406,Glasgow,Scotland,,,,J. & M. Robertson,,1802,L.C.2836,L.C.2836(28),"Printed by J. and M. Robertson, Saltmarket",108751950,,,,,,
27,104185946/image/108702992.3.jpg,104185946,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852,L.C.2852(22),Printed for the booksellers,108702990,,,,,,
28,104186112/image/108616041.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108616039,,,,,,
29,104186112/image/108616005.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108616003,,,,,,
30,104186112/image/108615837.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615835,,,,,,
31,104186112/image/108615981.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615979,,,,,,
32,104186112/image/108615861.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615859,,,,,,
33,104186112/image/108615909.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615907,,,,,,
34,104186112/image/108615825.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615823,,,,,,
35,104186112/image/108616065.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108616063,,,,,,
36,104186112/image/108615789.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615787,,,,,,
37,104186112/image/108615885.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615883,,,,,,
38,104186112/image/108615957.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108615955,,,,,,
39,104186112/image/108616053.3.jpg,104186112,Glasgow,Scotland,,,,,,1858,L.C.2852.J,L.C.2852.J(18),Printed for the booksellers,108616051,,,,,,
